year,site_label,sample_label,site,site_id,region,otter_dens,sample_no,epi_type,filter_wgt_mg,filter_alum_wgt_mg,dry_wgt_mg,final_dry_wgt_mg,filtration_method,notes
2014,SEA_L_Choked_2014,EPI 06,Choked_Lower,CL,Choked,Low,6,filtered,132.7,467,497.6,30.6,subsample,
2014,SEA_L_Choked_2014,EPI 07,Choked_Lower,CL,Choked,Low,7,filtered,125.9,442.1,469.1,27,subsample,
2014,SEA_L_Choked_2014,EPI 03,Choked_Lower,CL,Choked,Low,3,filtered,500,606.1,635.8,29.7,subsample,
2014,SEA_L_Choked_2014,EPI 04,Choked_Lower,CL,Choked,Low,4,filtered,500,597.8,624.5,26.7,subsample,
2014,SEA_L_Choked_2014,EPI 02,Choked_Lower,CL,Choked,Low,2,filtered,400,583.3,609.8,26.5,subsample,
2014,SEA_L_Choked_2014,EPI 08,Choked_Lower,CL,Choked,Low,8,filtered,126.1,485.1,531.2,46.1,subsample,
2014,SEA_L_Choked_2014,EPI 09,Choked_Lower,CL,Choked,Low,9,filtered,127.9,446.9,478.1,31.2,subsample,
2014,SEA_Goose_E_2014,EPI 04,Goose_East,GE,Goose,High,4,filtered,500,666.3,691,24.7,subsample,
2014,SEA_Goose_E_2014,EPI 07,Goose_East,GE,Goose,High,5,filtered,500,238,666.5,NA,subsample,
2014,SEA_Goose_E_2014,EPI 05,Goose_East,GE,Goose,High,7,filtered,400,572.3,594.8,22.5,subsample,
2014,SEA_Goose_E_2014,EPI E,Goose_East,GE,Goose,High,Extra,filtered,125.5,463.9,483.4,19.5,subsample,
2014,SEA_McMullin_N_2014,EPI 09,McMullin_North,MN,McMullin,High,9,filtered,400,587.6,619.2,31.6,subsample,
2014,SEA_McMullin_N_2014,EPI 06,McMullin_North,MN,McMullin,High,6,filtered,700,867,896.1,29.1,subsample,
2014,SEA_McMullin_N_2014,EPI 03,McMullin_North,MN,McMullin,High,3,filtered,500,671.1,703.9,32.8,subsample,
2014,SEA_McMullin_N_2014,EPI 08,McMullin_North,MN,McMullin,High,8,filtered,500,672.4,708.6,36.2,subsample,
2014,SEA_McMullin_N_2014,EPI 05,McMullin_North,MN,McMullin,High,5,filtered,500,632.5,719,86.5,subsample,
2014,SEA_McMullin_N_2014,EPI 04,McMullin_North,MN,McMullin,High,4,filtered,500,640.7,677.2,36.5,subsample,
2014,SEA_McMullin_N_2014,EPI 01,McMullin_North,MN,McMullin,High,1,filtered,600,677.1,708.1,31,subsample,
2014,SEA_McMullin_N_2014,EPI 02,McMullin_North,MN,McMullin,High,2,filtered,500,564.2,597.8,33.6,subsample,
2014,SEA_McMullin_N_2014,EPI 07,McMullin_North,MN,McMullin,High,7,filtered,500,629.8,658,28.2,subsample,
2014,SEA_N_Triquet_2014,EPI 01,Triquet_North,TN,Triquet,Low,1,filtered,500,608.1,635,26.9,subsample,
2014,SEA_N_Triquet_2014,EPI 02,Triquet_North,TN,Triquet,Low,2,filtered,500,611.4,617.3,5.9,subsample,
2014,SEA_N_Triquet_2014,EPI 03,Triquet_North,TN,Triquet,Low,3,filtered,245.7,372.7,378.6,5.9,subsample,
2014,SEA_N_Triquet_2014,EPI 04,Triquet_North,TN,Triquet,Low,4,filtered,400,545.2,553.3,8.1,subsample,
2014,SEA_N_Triquet_2014,EPI 05,Triquet_North,TN,Triquet,Low,5,filtered,500,619.5,624.5,5,subsample,
2014,SEA_N_Triquet_2014,EPI 06,Triquet_North,TN,Triquet,Low,6,filtered,400,528.1,558.5,30.4,subsample,
2014,SEA_N_Triquet_2014,EPI 08,Triquet_North,TN,Triquet,Low,8,filtered,500,627,657.5,30.5,subsample,
2014,SEA_N_Triquet_2014,EPI 09,Triquet_North,TN,Triquet,Low,9,filtered,400,533.6,557.5,23.9,subsample,
