date,site,site_id,site_no,sample_id,sample_no,sample_loc,sample_loc2,foil_wgt_kg,wet_wgt_kg,final_wet_wgt_kg,dry_wgt_kg,final_dry_wgt_kg,depth_cor
Aug-02-2014,McMullin_N,MN,8,zostera,4D,Shallow_2,Shallow,0.0046,0.0466,0.042,,0.006,-0.33
Aug-02-2014,McMullin_N,MN,8,zostera,4E,Shallow_2,Shallow,0.0053,0.0626,0.0573,,0.008,-0.33
Aug-02-2014,McMullin_N,MN,8,zostera,6A,Mid_1,Mid,0.0062,0.0633,0.0571,0.015,0.008,-0.93
Aug-02-2014,McMullin_N,MN,8,zostera,6B,Mid_1,Mid,0.0067,0.0627,0.056,0.015,0.008,-0.93
Aug-02-2014,McMullin_N,MN,8,zostera,6C,Mid_1,Mid,0.0041,0.0618,0.0577,,0.008,-0.93
Aug-02-2014,McMullin_N,MN,8,zostera,7A,Shallow_3,Shallow,0.0042,0.0477,0.0435,0.01,0.005,0.57
Aug-02-2014,McMullin_N,MN,8,zostera,7B,Shallow_3,Shallow,0.0047,0.0343,0.0296,0.009,0.004,0.57
Aug-02-2014,McMullin_N,MN,8,zostera,8A,Mid_2,Mid,0.0043,0.0679,0.0636,0.01,0.006,-1.23
Aug-02-2014,McMullin_N,MN,8,zostera,8B,Mid_2,Mid,0.0047,0.0531,0.0484,0.012,0.007,-1.23
Aug-02-2014,McMullin_N,MN,8,zostera,8C,Mid_2,Mid,0.002,0.0169,0.0149,,0.002,-1.23
Aug-02-2014,McMullin_N,MN,8,zostera,9A,Shallow_1,Shallow,0.0045,0.0642,0.0597,0.012,0.007,-0.43
Aug-02-2014,McMullin_N,MN,8,zostera,9B,Shallow_1,Shallow,0.0048,0.0644,0.0596,0.013,0.008,-0.43
Aug-02-2014,McMullin_N,MN,8,zostera,9C,Shallow_1,Shallow,0.0043,0.0427,0.0384,0.01,0.006,-0.43
Jul-13-2014,McMullin_S,MS,7,zostera,2,Mid_1,Mid,0.0076,0.2096,0.202,0.04,0.033,0.2
Jul-13-2014,McMullin_S,MS,7,zostera,3,Mid_3,Mid,0.0069,0.1641,0.1572,0.031,0.025,-0.9
Jul-13-2014,McMullin_S,MS,7,zostera,5,Shallow_3,Shallow,0.008,0.1691,0.1611,0.029,0.021,-0.9
Jul-13-2014,McMullin_S,MS,7,zostera,6,Shallow_2,Shallow,0.0073,0.1212,0.1139,0.027,0.02,-0.6
Jul-13-2014,McMullin_S,MS,7,zostera,8,Deep_3,Deep,0.0073,0.254,0.2467,0.046,0.039,-0.9
Jul-13-2014,McMullin_S,MS,7,zostera,10,Deep_1,Deep,0.0084,0.1962,0.1878,0.035,0.027,0
Jul-13-2014,McMullin_S,MS,7,zostera,12,Shallow_1,Shallow,0.0075,0.2122,0.2047,0.04,0.033,0.2
Jul-13-2014,McMullin_S,MS,7,zostera,4A,Mid_2,Mid,0.0077,0.1615,0.1538,0.025,0.017,-0.3
Jul-13-2014,McMullin_S,MS,7,zostera,4B,Mid_2,Mid,0.0079,0.1569,0.149,0.027,0.019,-0.3
Jul-13-2014,McMullin_S,MS,7,zostera,4C,Mid_2,Mid,,,,0.011,0.006,-0.3
Jul-13-2014,McMullin_S,MS,7,zostera,4D,Mid_2,Mid,,,,0.009,0.005,-0.3
Jul-13-2014,McMullin_S,MS,7,zostera,4E,Mid_2,Mid,,,,0.013,0.008,-0.3
Jul-13-2014,McMullin_S,MS,7,zostera,7A,Deep_2,Deep,0.0075,0.1389,0.1314,0.025,0.017,-0.7
Jul-13-2014,McMullin_S,MS,7,zostera,7B,Deep_2,Deep,0.0063,0.1505,0.1442,0.024,0.018,-0.7
Aug-04-2014,N_Triquet,NT,4,desmarestia,7,Mid_3,Mid,0.0018,0.0083,0.0065,0.002,0.001,
Aug-04-2014,N_Triquet,NT,4,zostera,10A,Deep_2,Deep,0.0062,0.0678,0.0616,0.015,0.008,-2
Aug-04-2014,N_Triquet,NT,4,zostera,10B,Deep_2,Deep,0.0049,0.0514,0.0465,0.01,0.006,-2
Aug-04-2014,N_Triquet,NT,4,zostera,12A,Deep_1,Deep,0.0045,0.0593,0.0548,0.011,0.006,-2.9
Aug-04-2014,N_Triquet,NT,4,zostera,12B,Deep_1,Deep,0.0038,0.0404,0.0366,0.008,0.004,-2.9
Aug-04-2014,N_Triquet,NT,4,zostera,13A,Deep_3,Deep,0.006,0.0683,0.0623,0.012,0.006,-1.3
Aug-04-2014,N_Triquet,NT,4,zostera,13B,Deep_3,Deep,0.0048,0.0539,0.0491,0.011,0.006,-1.3
Aug-04-2014,N_Triquet,NT,4,zostera,2A,Shallow_3,Shallow,0.0049,0.0405,0.0356,0.009,0.004,-0.4
Aug-04-2014,N_Triquet,NT,4,zostera,2B,Shallow_3,Shallow,0.0059,0.0301,0.0242,0.01,0.004,-0.4
Aug-04-2014,N_Triquet,NT,4,zostera,4A,Mid_1,Mid,0.0061,0.0495,0.0434,0.012,0.006,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,4B,Mid_1,Mid,0.0063,0.0432,0.0369,0.011,0.005,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,5A,Shallow_2,Shallow,0.0057,0.0514,0.0457,0.013,0.007,-1.3
Aug-04-2014,N_Triquet,NT,4,zostera,5B,Shallow_2,Shallow,0.0049,0.0331,0.0282,0.011,0.006,-1.3
Aug-04-2014,N_Triquet,NT,4,zostera,6A,Mid_2,Mid,0.002,0.0122,0.0102,0.003,0.001,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,6B,Mid_2,Mid,0.0057,0.0719,0.0662,0.014,0.008,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,6C,Mid_2,Mid,0.0071,0.0719,0.0648,0.013,0.006,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,6D,Mid_2,Mid,0.0047,0.072,0.0673,0.014,0.01,-1.6
Aug-04-2014,N_Triquet,NT,4,zostera,7A,Mid_3,Mid,0.0048,0.0724,0.0676,0.013,0.008,-0.7
Aug-04-2014,N_Triquet,NT,4,zostera,7B,Mid_3,Mid,0.0062,0.0718,0.0656,0.016,0.01,-0.7
Aug-04-2014,N_Triquet,NT,4,zostera,7C,Mid_3,Mid,0.0018,0.0214,0.0196,0.005,0.004,-0.7
Aug-04-2014,N_Triquet,NT,4,zostera,9A,Shallow_1,Shallow,0.0067,0.0617,0.055,0.015,0.008,-1.2
Aug-04-2014,N_Triquet,NT,4,zostera,9B,Shallow_1,Shallow,0.0064,0.0617,0.0553,0.015,0.009,-1.2
Aug-04-2014,N_Triquet,NT,4,zostera,9C,Shallow_1,Shallow,0.0048,0.0628,0.058,0.014,0.01,-1.2
Jul-09-2014,Sandspit,SC,2,desmarestia,5,,,0.0067,0.1804,0.1737,0.016,0.01,
Jul-09-2014,Sandspit,SC,2,zostera,5,,,0.0064,0.0909,0.0845,0.015,0.008,-1.12
Jul-09-2014,Sandspit,SC,2,epiphyte,7,Mid_3,Mid,,,0.0204,,,
Jul-09-2014,Sandspit,SC,2,zostera,7,Mid_3,Mid,0.006,0.0873,0.0813,0.015,0.009,-0.45
Jul-09-2014,Sandspit,SC,2,zostera,8,Shallow_2,Shallow,,,,0.014,0.008,0.05
Jul-09-2014,Sandspit,SC,2,desmarestia,9,Mid_1,Mid,0.0038,0.0572,0.0534,0.007,0.003,
Jul-09-2014,Sandspit,SC,2,zostera,9,Mid_1,Mid,0.0057,0.1096,0.1039,0.017,0.011,-0.25
Jul-09-2014,Sandspit,SC,2,epiphyte,10,Shallow_3,Shallow,,,0.046,,,
Jul-09-2014,Sandspit,SC,2,zostera,10,Shallow_3,Shallow,0.0059,0.1179,0.112,0.018,0.012,0.15
Jul-09-2014,Sandspit,SC,2,smithora,11,Deep_2,Deep,0.0015,0.0198,0.0183,0.003,0.002,
Jul-09-2014,Sandspit,SC,2,zostera,11,Deep_2,Deep,0.0056,0.0499,0.0443,0.012,0.007,0.05
Jul-09-2014,Sandspit,SC,2,epiphyte,13,Mid_2,Mid,,,0.046,,,
Jul-09-2014,Sandspit,SC,2,zostera,13,Mid_2,Mid,0.0057,0.0762,0.0705,0.016,0.011,0.15
Jul-09-2014,Sandspit,SC,2,zostera,NA,,,,,,0.018,0.013,-0.65
Jul-11-2014,Triquet_Bay,TB,3,algae,1,Deep_1,Deep,0.0028,0.0031,0.0003,0.003,0,
Jul-11-2014,Triquet_Bay,TB,3,algae,1,Deep_1,Deep,0.0022,0.0045,0.0023,0.002,0,
Jul-11-2014,Triquet_Bay,TB,3,zostera,1,Deep_1,Deep,0.0064,0.1048,0.0984,0.021,0.014,1.6
Jul-11-2014,Triquet_Bay,TB,3,zostera,2,Mid_2,Mid,0.0084,0.1432,0.1348,0.029,0.021,2
Jul-11-2014,Triquet_Bay,TB,3,zostera,3,Shallow_3,Shallow,0.0083,0.1121,0.1038,0.022,0.014,2.5
Jul-11-2014,Triquet_Bay,TB,3,algae,4,Deep_2,Deep,0.0047,0.0084,0.0037,0.005,0.001,
Jul-11-2014,Triquet_Bay,TB,3,zostera,4,Deep_2,Deep,0.0087,0.1293,0.1206,0.024,0.015,1.6
Jul-11-2014,Triquet_Bay,TB,3,saccharina_groetlantica,5,Deep_3,Deep,0.002,0.0117,0.0097,0.003,0.001,
Jul-11-2014,Triquet_Bay,TB,3,zostera,5,Deep_3,Deep,0.0073,0.2128,0.2055,0.034,0.027,1.6
Jul-11-2014,Triquet_Bay,TB,3,zostera,8,Shallow_2,Shallow,0.0045,0.1716,0.1671,0.032,0.027,2.5
Jul-11-2014,Triquet_Bay,TB,3,zostera,9,Shallow_1,Shallow,0.0059,0.1199,0.114,0.019,0.013,2.1
Jul-11-2014,Triquet_Bay,TB,3,zostera,11,Mid_1,Mid,0.0067,0.1123,0.1056,0.023,0.016,2
Jul-11-2014,Triquet_Bay,TB,3,algae,12,Mid_2,Mid,0.0022,0.0094,0.0072,0.012,0.008,
Jul-11-2014,Triquet_Bay,TB,3,zostera,12,Mid_3,Mid,0.0043,0.0491,0.0448,0.003,0.001,2.2
